Text,Label
"It works as described, no major issues.",Neutral
Customer service was unhelpful and rude.,Negative
"Amazing quality, totally worth the price.",Positive
"I am very satisfied with my purchase, highly recommend.",Positive
"I am disappointed, it did not meet my expectations.",Negative
Customer service was unhelpful and rude.,Negative
"Very poor quality, not worth the money.",Negative
"The experience was average, not bad.",Neutral
Item arrived late and was damaged.,Negative
The product exceeded my expectations and works flawlessly.,Positive
"Very poor quality, not worth the money.",Negative
"Delivery was on time, but packaging could be better.",Neutral
The product exceeded my expectations and works flawlessly.,Positive
The product stopped working after a few days.,Negative
"Very poor quality, not worth the money.",Negative
"Very poor quality, not worth the money.",Negative
"I am disappointed, it did not meet my expectations.",Negative
Item arrived late and was damaged.,Negative
"Delivery was on time, but packaging could be better.",Neutral
Item arrived late and was damaged.,Negative
"I am very satisfied with my purchase, highly recommend.",Positive
"I am disappointed, it did not meet my expectations.",Negative
The product stopped working after a few days.,Negative
"Delivery was on time, but packaging could be better.",Neutral
The product exceeded my expectations and works flawlessly.,Positive
"I am disappointed, it did not meet my expectations.",Negative
The product is functional but lacks some features.,Neutral
"I am disappointed, it did not meet my expectations.",Negative
"Delivery was on time, but packaging could be better.",Neutral
Excellent customer service and great product.,Positive
"I am very satisfied with my purchase, highly recommend.",Positive
"I am very satisfied with my purchase, highly recommend.",Positive
Item arrived late and was damaged.,Negative
Item arrived late and was damaged.,Negative
"I am disappointed, it did not meet my expectations.",Negative
The product exceeded my expectations and works flawlessly.,Positive
"Very poor quality, not worth the money.",Negative
Excellent customer service and great product.,Positive
Excellent customer service and great product.,Positive
"Delivery was on time, but packaging could be better.",Neutral
The product exceeded my expectations and works flawlessly.,Positive
"Delivery was on time, but packaging could be better.",Neutral
Item arrived late and was damaged.,Negative
The product stopped working after a few days.,Negative
"The experience was average, not bad.",Neutral
"It works as described, no major issues.",Neutral
Excellent customer service and great product.,Positive
"It works as described, no major issues.",Neutral
The product stopped working after a few days.,Negative
"The experience was average, not bad.",Neutral
"Delivery was on time, but packaging could be better.",Neutral
Excellent customer service and great product.,Positive
The product exceeded my expectations and works flawlessly.,Positive
Excellent customer service and great product.,Positive
Excellent customer service and great product.,Positive
The product is functional but lacks some features.,Neutral
The product exceeded my expectations and works flawlessly.,Positive
The product stopped working after a few days.,Negative
"The product is okay, nothing special.",Neutral
The product exceeded my expectations and works flawlessly.,Positive
The product is functional but lacks some features.,Neutral
Excellent customer service and great product.,Positive
The product exceeded my expectations and works flawlessly.,Positive
"Very poor quality, not worth the money.",Negative
The product exceeded my expectations and works flawlessly.,Positive
The product stopped working after a few days.,Negative
"Delivery was on time, but packaging could be better.",Neutral
The product is functional but lacks some features.,Neutral
"The product is okay, nothing special.",Neutral
"Amazing quality, totally worth the price.",Positive
"Very poor quality, not worth the money.",Negative
The product stopped working after a few days.,Negative
"Amazing quality, totally worth the price.",Positive
"The product is okay, nothing special.",Neutral
Excellent customer service and great product.,Positive
"Delivery was on time, but packaging could be better.",Neutral
"Amazing quality, totally worth the price.",Positive
The product is functional but lacks some features.,Neutral
The product exceeded my expectations and works flawlessly.,Positive
Customer service was unhelpful and rude.,Negative
The product is functional but lacks some features.,Neutral
"I am very satisfied with my purchase, highly recommend.",Positive
"The experience was average, not bad.",Neutral
"I am very satisfied with my purchase, highly recommend.",Positive
"Amazing quality, totally worth the price.",Positive
"It works as described, no major issues.",Neutral
Customer service was unhelpful and rude.,Negative
The product exceeded my expectations and works flawlessly.,Positive
"I am very satisfied with my purchase, highly recommend.",Positive
